movieID,Title,Runtime,Director,Writer,Actors,Release Date,Netflix Release Date,Production House
103,The Flower of Evil,1-2 hour,Claude Chabrol,"Caroline Eliacheff, Claude Chabrol, Louise L. Lambrichs","Suzanne Flon, Nathalie Baye, Benoît Magimel, Bernard Le Coq",19-02-2003,15-02-2021,"France 3 Cinéma, MK2 SA, Canal Plus Image International"
104,The Swindle,1-2 hour,Claude Chabrol,Claude Chabrol,"François Cluzet, Isabelle Huppert, Jean-François Balmer, Michel Serrault",24-10-1997,15-02-2021,
105,Madame Bovary,> 2 hrs,Sophie Barthes,"Sophie Barthes, Gustave Flaubert, Felipe Marino","Mia Wasikowska, Rhys Ifans, Logan Marshall-Green, Ezra Miller",12-06-2015,15-02-2021,"A-Company Filmproduktion, Scope Pictures, Left Field Ventures"
106,Betty,1-2 hour,,,"Ajani Russell, Nina Moran, Dede Lovelace, Kabrina Adams",01-05-2020,15-02-2021,
107,New Amsterdam,< 30 minutes,,,"Freema Agyeman, Janet Montgomery, Ryan Eggold, Jocko Sims",25-09-2018,15-02-2021,
108,Wheel of Fortune,< 30 minutes,,Merv Griffin,"Pat Sajak, Charlie O'Donnell, Vanna White",19-09-1983,15-02-2021,
109,The Photograph,1-2 hour,Stella Meghie,Stella Meghie,"LaKeith Stanfield, Chanté Adams, Y'lan Noel, Issa Rae",14-02-2020,14-02-2021,
110,Monsoon,1-2 hour,Hong Khaou,Hong Khaou,"David Tran, Lam Anh Dao, Henry Golding, William Do",13-11-2020,14-02-2021,Create Entertainment
111,White House Farm,< 30 minutes,,,"Alexa Davies, Scott Reid, Mark Addy, Freddie Fox",24-09-2020,13-02-2021,
112,Capitani,< 30 minutes,,,"Sophie Mousel, Claude De Demo, Luc Schiltz, Joe Dennenwald",11-02-2021,12-02-2021,
113,Romang,1-2 hour,Chang-Geun Lee,,"Jo Han-Chul, Seon-kyu Jin, Bae Hae-Sun, Yeong-suk Jeong",03-04-2019,11-02-2021,
114,SUMMER 03,1-2 hour,Éric Rohmer,"Marie Rivière, Éric Rohmer","Marie Rivière, Amira Chemakhi, María Luisa García, Sylvie Richez",29-08-1986,11-02-2021,Les Films du Losange
115,Weathering with You,1-2 hour,Makoto Shinkai,Makoto Shinkai,"Sei Hiraizumi, Nana Mori, Kotaro Daigo, Shun Oguri",17-01-2020,11-02-2021,
116,Monster Hunt 2,1-2 hour,Raman Hui,"Sunny Chan, Peter Cilella, Wai Lun Ng, Liang Su","Baihe Bai, Tony Chiu-Wai Leung, Yuchun Li, Boran Jing",16-02-2018,11-02-2021,
117,Homecoming,1-2 hour,,"Sam Esmail, Micah Bloomberg, Eli Horowitz","Stephan James, Hong Chau, Bobby Cannavale, Alex Karpovsky",02-11-2018,11-02-2021,
118,Forgotten Rules,1-2 hour,H. Tjut Djalil,,"Illa Doth, Eva Arnaz, Diding Boneng, Rini S. Bono",,11-02-2021,
119,Lassie Come Home,1-2 hour,Fred M. Wilcox,"Hugo Butler, Eric Knight","May Whitty, Donald Crisp, Roddy McDowall, Edmund Gwenn",01-12-1943,11-02-2021,Metro-Goldwyn-Mayer
120,News of the World,1-2 hour,Paul Greengrass,"Luke Davies, Paul Greengrass, Paulette Jiles","Helena Zengel, Tom Hanks, Travis Johnson, Tom Astor",25-12-2020,11-02-2021,
121,O Filho Eterno,1-2 hour,Paulo Machline,"Leonardo Levis, Cristovão Tezza","Lourinelson Vladmir, Augusto Madeira, Débora Falabella, Marcos Veras",01-12-2016,10-02-2021,
122,Paradoks,< 30 minutes,,,"Cezary Lukaszewicz, Boguslaw Linda, Andrzej Zielinski, Anna Grycewicz",06-09-2012,10-02-2021,
123,Spaceship Earth,1-2 hour,Matt Wolf,,"Kathelin Gray, Marie Harding, William Dempster, Shelley Taylor Morgan",08-05-2020,09-02-2021,
124,Mr. & Mrs. Incredible,1-2 hour,Doug Liman,Simon Kinberg,"Brad Pitt, Vince Vaughn, Adam Brody, Angelina Jolie",10-06-2005,08-02-2021,"Regency Entertainment, New Regency Pictures, Weed Road Pictures, Summit Entertainment"
125,Golden Chicken,1-2 hour,Leung Chun 'Samson' Chiu,"Matt Chow, Leung Chun 'Samson' Chiu","Hin-Wai Au, Sandra Kwan Yue Ng, Eason Chan, Eric Tsang",26-12-2002,08-02-2021,
126,American Dreams in China,1-2 hour,Peter Ho-Sun Chan,"Oi Wah Lam, Zhiyong Zhou, Ji Zhang","Xiaoming Huang, Juan Du, Dawei Tong, Chao Deng",17-05-2013,08-02-2021,China Film Group Corp.
127,Dont be the First one,< 30 minutes,Farhan Akhtar,"Javed Akhtar, Salim Khan, Farhan Akhtar","Isha Koppikar, Priyanka Chopra, Shah Rukh Khan, Arjun Rampal",20-10-2006,07-02-2021,Excel Entertainment
128,Space Sweepers,> 2 hrs,Sung-hee Jo,,"Seon-kyu Jin, Song Joong-Ki, Kim Tae-ri, Hae-Jin Yoo",05-02-2021,06-02-2021,
129,Malcolm & Marie,1-2 hour,Nadia Tass,David Parker,"Colin Friels, Lindy Davies, Chris Haywood, John Hargreaves",05-11-1986,06-02-2021,
130,Little Big Women,> 2 hrs,Joseph Chen-Chieh Hsu,"Maya Huang, Joseph Chen-Chieh Hsu","Ke-Fang Sun, Ying-Hsuan Hsieh, Shu-Fang Chen, Vivian Hsu",06-11-2020,06-02-2021,
131,Invisible City,< 30 minutes,Hubert Davis,,,02-05-2009,06-02-2021,Industry Pictures Inc.
132,Tim Maia,> 2 hrs,Mauro Lima,"Antonia Pellegrino, Mauro Lima","Babu Santana, Cauã Reymond, Alinne Moraes, Robson Nunes",30-10-2014,05-02-2021,
133,A Febre,1-2 hour,,,"Patrícia Bull, António Pedro Cerdeira, Filipe Duarte, Adelaide de Sousa",08-01-2001,04-02-2021,
134,Starring Maja,1-2 hour,Teresa Fabik,Teresa Fabik,"Maria Lundqvist, Zandra Andersson, Moa Silén, Anastasios Soulis",11-09-2009,04-02-2021,
135,The Assault,1-2 hour,Julien Leclercq,"Roland Môntins, Julien Leclercq, Simon Moutairou, Gilles Cauture","Aymen Saïdi, Mélanie Bernier, Vincent Elbaz, Grégori Derangère",09-03-2011,04-02-2021,"Mars Films, Labyrinthe Films"
136,The Dream House,1-2 hour,,,"Ian Loghan-Swagger, Miguel Alonso, Martina Méndez, Victoria Montana",24-06-2016,04-02-2021,
137,The Great Adventure,1-2 hour,Arne Sucksdorff,"Arne Sucksdorff, René Barjavel","Luis Van Rooten, Kjell Sucksdorff, Gunnar Sjöberg, Anders Nohrborg",23-05-1955,04-02-2021,
138,The Pilgrimage to Kevlaar,30-60 mins,Ivan Hedqvist,"Ragnar Hyltén-Cavallius, Heinrich Heine","Renée Björling, Torsten Bergström, Concordia Selander, Jessie Wessel",09-05-2021,04-02-2021,
139,Ingeborg Holm,1-2 hour,Victor Sjöström,Nils Krok,"Aron Lindgren, Georg Grönroos, Hilda Borgström, Erik Lindholm",27-10-2013,04-02-2021,
140,Erotikon,1-2 hour,Mauritz Stiller,"Ferenc Herczeg, Arthur Nordén, Mauritz Stiller, Gustaf Molander","Elin Lagergren, Karin Molander, Anders de Wahl, Tora Teje",08-11-2020,04-02-2021,Svensk Filmindustri (SF) AB
141,Career,1-2 hour,Joseph Anthony,"Bert Granet, Philip Stong, James Lee, Dalton Trumbo","Anthony Franciosa, Carolyn Jones, Shirley MacLaine, Dean Martin",01-10-1960,04-02-2021,Paramount
